 no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
0,2,2,30,110,2,184,35,55,82,21,2
4,2,2,27,101,2,373,51,17,103,17,1
3,1,1,77,209,8,395,138,106,215,49,1
4,2,1,37,121,5,173,64,47,128,38,2
4,1,1,44,107,0,191,90,40,158,35,2
3,2,1,5,14,3,433,12,8,21,5,1
0,2,2,50,153,9,134,141,58,178,55,2
3,2,1,57,203,4,477,19,46,209,64,1
4,1,2,70,188,1,474,94,70,176,36,1
1,2,1,85,267,4,417,254,86,172,91,1
3,2,1,9,32,5,203,30,4,19,12,2
1,1,1,38,106,6,298,36,66,133,44,1
2,1,2,96,321,0,243,241,174,254,77,1
0,2,1,25,65,9,496,7,42,67,19,1
3,2,1,86,343,3,86,148,165,181,60,2
5,2,1,31,75,7,332,85,5,68,49,1
1,1,1,67,231,1,181,187,11,231,102,1
3,1,1,7,32,1,470,7,0,17,6,2
3,1,1,39,152,2,367,28,16,144,40,1
3,2,1,45,172,3,285,12,31,93,49,1
5,1,1,32,113,7,179,92,57,109,24,2
2,1,2,94,222,8,551,74,162,240,126,1
3,2,1,68,159,2,78,200,126,200,55,2
5,1,2,55,126,8,507,41,9,183,55,1
1,2,1,80,321,8,531,228,123,174,78,1
2,2,2,19,48,5,374,22,32,61,24,1
1,2,1,78,278,8,425,19,128,227,75,1
2,2,2,78,290,1,300,165,132,291,65,1
0,2,1,92,267,4,236,44,17,335,48,2
0,1,2,82,203,4,177,15,15,247,119,2
1,2,1,17,47,2,260,10,19,60,14,1
0,2,1,40,161,9,239,95,21,111,31,2
5,1,2,24,88,3,552,37,7,100,33,1
3,2,2,35,82,9,553,83,57,72,49,1
0,1,2,86,306,5,429,17,7,254,114,1
2,2,2,19,44,0,246,60,32,54,15,2
3,1,1,7,21,4,189,8,0,25,5,2
3,1,1,96,351,2,569,144,164,225,103,1
2,2,2,78,197,0,202,41,22,313,99,2
0,1,2,96,376,3,352,232,186,294,54,1
0,2,1,1,8,3,489,4,1,5,4,1
4,2,2,25,78,1,25,50,8,96,34,1
3,1,1,72,193,0,416,41,89,288,42,1
3,1,2,90,340,8,223,255,40,288,88,2
5,2,2,93,219,9,52,244,0,305,70,2
5,1,1,36,141,0,45,33,8,127,47,1
0,1,2,81,191,8,349,25,161,240,113,1
2,1,1,26,71,8,366,1,23,60,34,1
0,1,2,84,206,4,513,113,119,257,48,1
0,2,2,52,165,4,299,53,74,142,76,1
5,1,1,40,91,2,378,47,55,96,57,1
5,2,2,50,119,9,213,134,20,165,54,2
5,1,2,92,276,1,570,11,2,292,104,1
3,1,2,86,201,3,183,32,114,279,118,2
1,1,1,57,164,7,8,58,88,188,53,2
3,1,1,15,46,7,291,47,10,40,14,1
1,2,2,68,227,4,586,140,37,264,36,1
4,2,2,15,37,2,529,0,16,49,17,1
0,2,2,13,46,5,351,16,28,43,8,1
4,2,2,18,44,8,433,37,37,67,28,1
5,1,1,37,152,5,133,95,54,76,46,2
1,1,1,7,33,6,413,13,10,15,12,1
1,1,2,67,222,8,103,8,84,166,63,2
0,1,1,26,75,4,105,78,25,68,34,2
3,1,1,66,196,4,216,160,60,257,85,2
4,2,1,4,15,3,117,17,7,15,8,2
1,2,2,45,137,2,168,113,18,103,46,2
5,1,1,28,115,4,372,87,36,95,41,1
5,2,2,38,136,2,230,60,56,122,60,2
1,2,1,29,110,6,524,37,60,107,44,1
1,2,1,75,252,5,249,181,106,202,70,2
5,2,1,41,90,4,150,21,67,97,41,2
1,1,1,56,192,9,131,138,50,153,33,2
3,1,1,34,104,7,12,23,16,128,52,2
0,2,1,27,73,3,20,80,56,93,31,2
0,1,2,86,199,1,133,160,42,302,124,2
1,2,1,1,7,4,131,4,5,6,1,2
5,2,1,84,286,3,216,99,18,299,68,2
2,2,1,33,117,6,176,11,68,121,29,2
5,1,2,6,23,2,260,1,2,27,10,1
2,1,2,78,268,5,374,144,4,250,64,1
0,2,1,97,372,2,273,172,100,198,59,1
2,2,2,31,63,2,31,63,20,86,27,2
4,1,1,18,64,5,333,1,8,45,20,1
3,2,2,47,126,8,577,18,70,176,33,1
5,2,1,90,233,5,356,14,112,359,49,1
0,2,2,73,179,2,482,74,120,195,41,1
5,2,2,88,290,1,231,104,95,351,58,1
3,2,2,12,38,3,155,30,14,26,21,2
3,1,2,94,196,6,152,42,162,282,66,2
2,1,2,82,329,6,174,196,150,251,115,2
3,2,2,62,241,1,183,78,24,188,45,1
4,1,2,57,165,3,181,69,114,192,33,2
2,1,1,20,48,9,559,38,12,61,31,1
4,1,1,54,138,6,396,90,92,162,68,1
4,2,2,96,284,2,478,166,74,294,111,1
4,1,2,42,143,1,199,13,65,158,57,1
2,2,1,22,46,1,588,64,43,48,34,1
1,1,2,42,105,5,374,96,27,169,53,1
4,1,2,35,129,1,502,98,24,122,43,1
4,2,1,21,75,3,240,15,34,44,28,2
4,1,1,57,193,3,426,174,68,198,80,1
4,2,1,62,232,0,185,73,27,233,39,1
4,1,1,47,168,2,312,13,70,192,50,1
3,2,1,93,239,3,579,31,171,261,126,1
2,2,2,55,161,5,408,37,8,147,44,1
2,2,1,25,54,3,550,35,50,102,39,1
2,2,1,37,110,5,216,31,0,101,46,2
0,2,2,76,285,5,165,47,75,285,74,2
0,1,2,9,29,9,416,18,14,33,15,1
4,2,2,0,3,4,104,0,1,1,0,2
0,2,1,45,103,9,212,84,40,120,70,2
3,2,1,80,203,4,141,161,114,288,61,2
2,2,1,44,181,0,255,77,24,139,42,1
5,2,2,16,67,8,166,26,21,57,19,2
3,1,1,30,83,0,127,39,18,68,47,2
4,2,1,53,197,6,293,151,27,196,49,1
3,1,2,77,180,4,431,42,34,219,84,1
1,1,1,38,98,7,151,70,39,140,39,2
3,2,1,66,166,8,328,36,9,153,49,1
1,2,2,25,91,8,404,53,23,61,24,1
2,2,2,66,232,5,41,193,118,140,85,2
5,1,2,84,207,3,165,117,149,192,99,2
4,1,2,78,298,1,131,119,138,185,115,1
1,1,1,35,123,4,124,54,11,139,44,2
0,1,2,24,48,6,378,5,12,57,31,1
4,1,2,40,165,2,81,96,38,145,59,2
5,1,1,78,277,4,149,185,15,171,39,2
1,2,2,69,232,5,468,64,121,221,73,1
0,2,2,18,67,2,366,0,12,40,14,2
4,2,1,56,130,6,442,161,93,160,70,1
3,2,1,65,155,1,145,105,76,138,91,2
2,1,2,71,284,6,334,59,38,209,108,1
4,2,2,31,94,6,482,25,0,101,22,1
0,1,2,28,67,4,481,72,6,114,27,1
4,2,2,77,169,6,18,142,95,229,90,2
5,2,2,74,238,8,421,219,115,226,72,1
5,2,2,35,95,1,263,95,51,109,30,1
2,2,2,82,260,1,119,229,79,289,62,1
0,1,1,80,205,6,72,38,1,258,52,2
0,2,2,27,92,8,585,43,23,62,35,1
1,2,1,97,373,5,296,100,93,360,68,1
0,1,2,42,138,0,49,33,13,85,62,1
1,2,1,88,319,7,168,45,164,283,109,2
3,2,1,66,266,7,518,147,104,260,73,1
2,2,2,85,277,5,243,169,60,226,67,2
3,1,2,92,216,7,385,81,56,342,50,1
3,2,1,58,122,8,551,146,50,165,50,1
1,2,1,92,295,4,77,240,182,306,117,2
0,2,1,8,37,4,320,24,13,34,11,1
3,1,1,7,20,9,311,6,15,16,5,1
4,2,2,19,74,1,467,12,17,66,13,1
5,1,1,9,29,9,292,32,7,32,5,1
0,1,1,4,20,1,19,16,8,20,7,1
4,2,1,90,252,4,600,94,105,271,127,1
2,2,1,34,125,8,514,86,41,100,41,1
5,2,1,11,47,4,455,21,22,45,19,1
5,1,1,75,165,9,284,86,48,231,80,1
4,1,1,93,232,6,80,229,67,248,73,2
2,2,1,48,173,9,165,62,52,162,52,2
0,2,2,3,15,0,231,13,5,16,7,1
1,1,1,81,318,7,514,185,27,286,75,1
0,1,2,51,176,2,378,47,39,141,36,1
2,2,1,91,287,5,355,79,68,296,49,1
3,2,2,21,71,0,382,65,24,73,21,1
1,2,2,2,10,2,395,2,5,5,1,1
3,2,2,30,105,1,533,26,10,84,26,1
5,2,1,92,350,7,2,41,125,365,128,2
1,1,2,21,63,0,57,59,2,57,22,2
5,2,2,41,142,5,2,125,43,122,51,2
0,1,1,60,221,8,573,157,66,155,82,1
0,2,1,70,195,5,358,127,81,247,73,1
5,1,1,22,84,8,577,28,29,68,11,1
3,2,2,27,60,3,348,34,34,73,14,1
1,1,2,12,49,5,430,29,0,34,7,1
4,2,1,20,79,6,437,58,28,79,14,1
2,1,1,6,29,4,284,0,2,18,7,2
0,1,2,4,14,0,321,4,4,17,2,1
4,1,1,5,24,7,283,11,12,11,3,1
2,2,2,82,256,7,321,86,134,332,42,1
2,2,2,69,212,7,310,58,121,139,93,1
4,1,2,52,154,8,152,137,26,162,66,2
5,1,2,35,70,8,39,93,1,136,53,2
3,1,1,50,149,7,350,13,57,132,41,1
4,2,1,0,4,4,372,2,2,0,3,1
3,1,2,3,7,9,201,8,8,6,2,2
2,2,1,16,54,1,509,12,19,60,24,1
5,1,1,90,291,3,18,180,59,335,54,2
4,2,2,7,30,4,349,0,4,15,12,1
3,2,2,73,280,5,67,92,113,224,70,2
5,2,2,28,115,2,547,82,22,68,23,1
5,1,2,69,186,5,60,107,11,195,85,2
1,1,1,33,69,0,565,41,32,116,42,1
4,2,2,47,185,7,580,42,47,129,26,1
1,1,2,39,81,9,308,14,80,97,44,1
0,1,1,6,18,2,460,3,1,13,6,1
3,1,1,15,43,5,85,15,13,49,17,2
0,1,1,59,230,5,178,38,23,174,49,2
1,1,1,19,74,7,27,50,5,44,23,2
0,1,2,29,90,2,363,13,14,78,38,1
2,2,1,15,32,9,393,22,14,45,17,1
3,1,2,15,51,2,410,48,7,55,17,1
4,2,1,38,142,2,411,24,57,106,41,1
5,1,2,54,181,3,86,113,67,110,56,2
4,1,1,37,116,4,555,102,40,99,28,1
4,1,1,59,150,6,273,11,99,130,84,1
0,1,1,9,25,8,131,5,3,40,14,2
2,1,2,53,145,3,64,130,45,123,45,2
4,1,1,9,33,6,411,25,5,33,6,1
4,2,1,2,6,9,471,10,5,13,5,1
3,1,2,90,359,8,369,31,127,306,123,1
4,2,1,91,272,8,38,215,5,346,66,2
1,1,2,9,32,3,262,23,12,29,5,1
3,2,2,54,184,0,469,80,82,170,48,1
0,1,1,61,212,3,329,6,34,217,52,1
3,1,2,86,178,2,399,64,21,182,94,1
0,2,2,82,205,9,290,51,89,318,108,1
3,1,1,14,54,1,407,33,27,59,23,1
3,2,1,43,111,3,91,85,68,96,45,2
5,2,2,63,182,1,591,136,33,233,71,1
3,1,1,93,203,0,431,134,38,204,92,1
3,2,2,45,164,5,475,40,17,170,35,1
5,1,1,94,321,0,597,35,154,265,62,1
5,1,2,78,264,9,494,80,147,296,78,1
2,1,2,75,164,2,255,129,29,178,85,1
1,2,1,34,100,5,236,68,5,119,27,2
2,2,2,5,14,4,539,1,7,17,9,1
0,1,1,12,48,2,590,41,19,49,19,1
1,1,1,84,276,9,115,122,148,268,79,2
4,1,2,45,154,1,568,33,25,135,48,1
3,1,1,27,55,5,53,84,26,98,31,2
4,2,2,88,287,7,290,46,156,289,123,1
5,1,1,3,6,8,318,14,6,9,4,1
2,2,1,5,14,4,239,14,10,16,9,2
0,1,2,66,267,1,129,171,76,211,94,1
2,1,2,16,44,3,492,45,12,38,22,1
0,2,2,58,121,0,308,30,21,176,68,1
4,1,1,52,212,6,255,43,15,140,75,1
5,1,1,82,172,5,320,153,136,257,58,1
0,1,2,72,206,2,335,156,140,207,72,1
2,1,2,30,122,4,157,61,20,79,43,2
1,1,1,52,211,3,50,26,10,194,68,2
5,1,1,8,22,6,585,22,1,20,11,1
0,1,2,42,144,7,338,40,27,141,27,1
1,1,1,36,102,5,410,18,62,122,25,1
3,2,1,59,206,8,170,5,85,177,75,2
5,2,1,53,170,7,574,10,29,134,79,1
5,2,1,3,15,8,111,10,5,10,2,2
0,2,1,1,8,0,182,2,1,8,4,1
1,1,1,60,166,0,96,106,75,234,76,2
0,2,2,1,6,9,136,0,4,3,2,2
0,2,1,67,218,9,3,136,46,217,69,2
4,1,2,35,111,5,428,42,58,70,23,1
3,2,1,86,283,4,475,52,50,317,96,1
5,1,1,80,232,5,102,151,15,240,58,2
1,2,1,90,312,8,398,53,61,201,83,1
0,2,2,22,75,6,365,52,29,59,29,1
4,2,2,39,132,8,190,47,62,136,20,2
1,1,2,78,316,5,204,237,15,218,60,2
3,2,1,34,83,3,490,54,59,95,52,1
1,2,1,5,24,9,369,1,10,23,5,1
4,2,2,81,304,2,81,217,23,264,46,2
0,1,1,51,147,0,600,17,21,207,58,1
4,1,2,81,246,7,206,154,56,264,70,2
3,2,1,23,85,5,238,49,18,88,33,2
3,1,1,52,141,3,377,110,79,205,31,1
4,1,2,14,46,3,385,32,20,35,15,1
2,2,2,22,59,5,560,49,37,92,11,1
5,2,2,61,145,2,308,161,105,215,54,1
4,1,1,23,50,4,240,23,28,68,17,2
0,1,1,73,165,7,192,215,48,251,111,2
3,2,2,27,82,6,534,12,45,85,18,1
3,1,1,8,32,7,534,8,17,27,7,1
2,1,1,84,285,3,590,233,59,209,72,1
1,2,2,1,8,5,143,6,4,9,2,2
5,2,2,21,54,8,29,56,33,46,27,2
2,2,1,22,51,5,439,3,25,47,30,1
5,1,1,96,300,2,567,208,160,299,76,1
2,2,2,79,245,2,7,2,40,308,105,2
3,1,2,65,152,8,192,21,20,260,94,2
1,2,1,82,244,8,398,230,132,324,122,1
2,1,2,0,4,3,551,4,2,5,2,1
2,1,2,45,122,6,75,13,63,98,54,2
0,1,1,41,140,6,301,38,9,164,57,1
4,2,2,20,67,9,456,36,39,54,12,1
4,1,1,84,189,1,568,204,15,325,93,1
4,1,1,18,69,4,538,25,3,73,10,1
4,2,1,40,156,6,75,72,79,159,30,2
0,2,1,49,122,8,478,33,10,145,32,1
2,1,1,39,109,2,142,122,41,97,45,2
1,1,1,97,377,5,508,118,37,299,134,1
1,2,1,30,87,9,72,27,28,69,38,2
2,1,2,53,187,1,297,11,40,184,53,1
0,1,1,76,288,9,135,211,130,170,97,2
3,1,1,32,94,9,428,15,15,70,24,1
4,1,1,77,256,6,73,109,143,274,76,2
3,1,1,87,182,4,67,61,0,317,103,2
2,1,2,71,188,6,252,20,134,165,40,1
4,2,1,31,103,3,165,5,44,70,28,2
4,1,1,27,102,3,307,44,55,73,38,1
2,1,1,3,10,1,127,14,5,15,6,2
3,2,2,70,209,1,411,108,42,246,57,1
3,2,2,81,238,6,523,59,7,237,77,1
1,2,1,85,202,2,223,193,65,234,48,2
4,2,1,69,276,4,28,90,134,262,77,2
3,1,1,96,279,5,421,158,65,216,96,1
0,1,1,67,167,9,299,181,94,263,43,1
0,2,2,22,47,6,280,59,44,52,32,1
1,2,1,19,46,4,444,2,20,51,10,1
2,1,1,70,236,1,259,42,122,175,108,1
2,1,2,44,132,7,287,77,59,103,50,1
5,1,1,97,315,8,517,234,7,323,115,1
4,2,1,1,7,9,355,0,1,8,4,1
5,1,1,67,236,2,82,171,69,212,89,2
2,1,1,15,40,2,465,50,15,31,9,1
2,1,1,42,97,9,216,74,76,119,51,2
4,2,1,41,147,3,83,47,1,87,49,2
2,2,2,35,138,2,333,8,2,110,34,1
1,1,2,57,149,0,247,171,20,144,36,2
5,2,1,84,260,4,543,233,98,178,113,1
3,2,1,32,129,3,483,65,3,127,49,1
3,2,1,8,29,6,490,19,1,33,11,1
1,2,1,42,139,7,109,127,13,123,45,2
0,2,2,34,75,6,76,98,69,116,30,2
3,2,2,12,24,3,325,31,18,31,10,1
0,2,2,51,106,8,407,129,26,124,76,1
3,1,1,92,202,2,345,174,130,242,102,1
4,2,1,64,218,2,587,36,35,195,47,1
5,1,2,96,367,8,19,192,51,196,51,2
1,2,2,17,46,9,347,41,21,65,17,1
2,2,1,56,222,2,588,119,26,168,48,1
2,2,2,29,101,4,120,69,59,97,35,2
0,1,2,66,181,0,491,40,9,199,99,1
5,2,2,44,159,5,591,59,12,105,37,1
2,2,1,0,4,7,341,6,2,3,1,1
3,2,1,93,225,2,19,2,184,338,94,2
5,2,1,60,219,9,519,135,66,214,87,1
4,2,1,95,320,8,87,116,143,197,54,2
5,1,1,40,120,0,386,105,2,153,42,1
1,1,1,55,117,1,115,157,9,170,74,2
4,1,2,78,252,1,422,172,139,259,49,1
4,1,2,50,201,9,461,47,16,140,62,1
1,1,1,69,149,3,89,59,9,240,59,2
1,1,1,91,276,5,300,21,42,287,66,1
5,1,2,18,58,0,107,19,19,43,20,1
3,1,1,37,137,8,529,52,40,113,27,1
2,2,2,26,56,2,595,10,39,106,15,1
5,1,1,28,108,5,141,85,25,70,20,2
4,2,2,43,95,7,595,98,82,136,55,1
4,1,2,17,40,1,526,24,0,67,9,1
1,1,2,21,69,3,153,30,21,78,34,2
0,1,2,45,172,0,401,54,23,114,70,1
2,2,1,11,24,3,327,1,3,23,13,1
3,1,2,29,107,0,243,59,22,87,24,1
0,1,2,82,172,8,111,132,53,310,104,2
5,1,1,15,55,1,283,20,18,57,23,1
2,2,2,17,72,0,589,6,11,68,26,1
3,2,2,22,83,3,384,34,24,59,16,1
5,1,2,66,202,4,278,5,118,269,34,1
